/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,7.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;63.892911
1;SP GFLOPS;11.760141
1;DP GFLOPS;1.074357
1;x87 GFLOPS;0.0
1;IPC;1.262785
1;Average CPU Frequency;3282390460.543212
1;Total Thread Count;
1;CPU Time;63.432152
0;Effective Physical Core Utilization;1.6% (0.994 out of 64)
1;Effective Logical Core Utilization;0.8% (0.993 out of 128)
0;Memory Bound;29.1
1;Cache Bound;22.7
1;DRAM Bound;5.0
1;NUMA: % of Remote Accesses;0.9
0;Vectorization;69.3
1;Instruction Mix;
2;SP FLOPs;15.9
3;Packed;92.6
4;128-bit;0.0
4;256-bit;18.9
4;512-bit;73.7
3;Scalar;7.4
2;DP FLOPs;7.8
3;Packed;21.5
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;21.5
3;Scalar;78.5
2;x87 FLOPs;0.0
2;Non-FP;76.3
1;FP Arith/Mem Rd Instr. Ratio;1.094174
1;FP Arith/Mem Wr Instr. Ratio;3.902036
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-5.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220601-1914
1;Result Size;3286314
1;Collection start time;18:20:56 01/06/2022 UTC
1;Collection stop time;18:22:00 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979084
2;Logical CPU Count;128
