/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,3.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;63.849815
1;SP GFLOPS;11.658363
1;DP GFLOPS;1.076256
1;x87 GFLOPS;0.000001
1;IPC;1.258050
1;Average CPU Frequency;3273239943.203659
1;Total Thread Count;
1;CPU Time;63.424481
0;Effective Physical Core Utilization;1.6% (0.994 out of 64)
1;Effective Logical Core Utilization;0.8% (0.993 out of 128)
0;Memory Bound;29.3
1;Cache Bound;22.7
1;DRAM Bound;5.3
1;NUMA: % of Remote Accesses;1.6
0;Vectorization;69.0
1;Instruction Mix;
2;SP FLOPs;15.7
3;Packed;93.2
4;128-bit;0.0
4;256-bit;18.9
4;512-bit;74.3
3;Scalar;6.8
2;DP FLOPs;7.9
3;Packed;20.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;20.9
3;Scalar;79.1
2;x87 FLOPs;0.0
2;Non-FP;76.3
1;FP Arith/Mem Rd Instr. Ratio;1.091937
1;FP Arith/Mem Wr Instr. Ratio;3.934748
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-5.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220601-1914
1;Result Size;3286322
1;Collection start time;18:20:56 01/06/2022 UTC
1;Collection stop time;18:22:00 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979080
2;Logical CPU Count;128
