/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,25.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.731994
1;SP GFLOPS;4.060546
1;DP GFLOPS;0.092468
1;x87 GFLOPS;0.0
1;IPC;1.384709
1;Average CPU Frequency;2518759394.998814
1;Total Thread Count;
1;CPU Time;2.484875
0;Effective Physical Core Utilization;0.8% (0.544 out of 64)
1;Effective Logical Core Utilization;0.4% (0.525 out of 128)
0;Memory Bound;24.9
1;Cache Bound;21.6
1;DRAM Bound;2.2
1;NUMA: % of Remote Accesses;6.1
0;Vectorization;73.9
1;Instruction Mix;
2;SP FLOPs;14.1
3;Packed;89.1
4;128-bit;0.0
4;256-bit;18.8
4;512-bit;70.3
3;Scalar;10.9
2;DP FLOPs;3.1
3;Packed;4.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.7
3;Scalar;95.3
2;x87 FLOPs;0.0
2;Non-FP;82.8
1;FP Arith/Mem Rd Instr. Ratio;0.702063
1;FP Arith/Mem Wr Instr. Ratio;1.901195
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220601-1914
1;Result Size;3286224
1;Collection start time;22:17:39 01/06/2022 UTC
1;Collection stop time;22:17:44 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979042
2;Logical CPU Count;128
