/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220702/hwmetrics/results.instance-20220702-1848,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;359.395194
1;SP GFLOPS;6.326007
1;DP GFLOPS;2.349898
1;x87 GFLOPS;0.0
1;IPC;0.790352
1;Average CPU Frequency;3292949731.501735
1;Total Thread Count;
1;CPU Time;357.924422
0;Effective Physical Core Utilization;1.6% (0.995 out of 64)
1;Effective Logical Core Utilization;0.8% (0.996 out of 128)
0;Memory Bound;29.5
1;Cache Bound;23.4
1;DRAM Bound;6.7
1;NUMA: % of Remote Accesses;1.3
0;Vectorization;92.5
1;Instruction Mix;
2;SP FLOPs;7.6
3;Packed;100.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;100.0
3;Scalar;0.0
2;DP FLOPs;6.5
3;Packed;83.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;83.8
3;Scalar;16.2
2;x87 FLOPs;0.0
2;Non-FP;85.9
1;FP Arith/Mem Rd Instr. Ratio;1.395207
1;FP Arith/Mem Wr Instr. Ratio;3.051798
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.lj-long.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220702-1848
1;Result Size;3304710
1;Collection start time;18:08:54 02/07/2022 UTC
1;Collection stop time;18:14:53 02/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593971865
2;Logical CPU Count;128
