/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;26.890134
1;SP GFLOPS;0.989215
1;DP GFLOPS;11.294935
1;x87 GFLOPS;0.000000
1;IPC;1.465350
1;Average CPU Frequency;3201553985.715353
1;Total Thread Count;
1;CPU Time;26.101942
0;Effective Physical Core Utilization;1.5% (0.968 out of 64)
1;Effective Logical Core Utilization;0.8% (0.971 out of 128)
0;Memory Bound;16.5
1;Cache Bound;14.4
1;DRAM Bound;1.1
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;86.9
1;Instruction Mix;
2;SP FLOPs;1.9
3;Packed;95.5
4;128-bit;0.0
4;256-bit;87.2
4;512-bit;8.3
3;Scalar;4.5
2;DP FLOPs;25.6
3;Packed;86.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;86.2
3;Scalar;13.8
2;x87 FLOPs;0.0
2;Non-FP;72.5
1;FP Arith/Mem Rd Instr. Ratio;1.328156
1;FP Arith/Mem Wr Instr. Ratio;5.667879
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220601-1914
1;Result Size;3304534
1;Collection start time;22:14:05 01/06/2022 UTC
1;Collection stop time;22:14:31 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979088
2;Logical CPU Count;128
