/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,63.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.819142
1;SP GFLOPS;0.100546
1;DP GFLOPS;0.063272
1;x87 GFLOPS;0.0
1;IPC;1.227507
1;Average CPU Frequency;2907691046.066065
1;Total Thread Count;
1;CPU Time;0.636215
0;Effective Physical Core Utilization;0.4% (0.248 out of 64)
1;Effective Logical Core Utilization;0.2% (0.226 out of 128)
0;Memory Bound;19.2
1;Cache Bound;14.5
1;DRAM Bound;1.7
1;NUMA: % of Remote Accesses;2.4
0;Vectorization;67.6
1;Instruction Mix;
2;SP FLOPs;0.8
3;Packed;100.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;100.0
3;Scalar;0.0
2;DP FLOPs;1.8
3;Packed;52.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;52.6
3;Scalar;47.4
2;x87 FLOPs;0.0
2;Non-FP;97.4
1;FP Arith/Mem Rd Instr. Ratio;0.110552
1;FP Arith/Mem Wr Instr. Ratio;0.231302
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220526-1048
1;Result Size;3286172
1;Collection start time;17:32:01 26/05/2022 UTC
1;Collection stop time;17:32:04 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975888
2;Logical CPU Count;128
