/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,44.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;8.250051
1;SP GFLOPS;0.588088
1;DP GFLOPS;5.789341
1;x87 GFLOPS;0.0
1;IPC;1.295676
1;Average CPU Frequency;2697905629.771482
1;Total Thread Count;
1;CPU Time;5.935852
0;Effective Physical Core Utilization;1.1% (0.713 out of 64)
1;Effective Logical Core Utilization;0.6% (0.719 out of 128)
0;Memory Bound;25.2
1;Cache Bound;17.2
1;DRAM Bound;6.0
1;NUMA: % of Remote Accesses;1.3
0;Vectorization;83.3
1;Instruction Mix;
2;SP FLOPs;2.2
3;Packed;94.8
4;128-bit;0.0
4;256-bit;86.3
4;512-bit;8.6
3;Scalar;5.2
2;DP FLOPs;26.3
3;Packed;82.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;82.4
3;Scalar;17.6
2;x87 FLOPs;0.0
2;Non-FP;71.5
1;FP Arith/Mem Rd Instr. Ratio;1.411177
1;FP Arith/Mem Wr Instr. Ratio;5.477131
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220601-1914
1;Result Size;3286255
1;Collection start time;22:32:33 01/06/2022 UTC
1;Collection stop time;22:32:41 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979065
2;Logical CPU Count;128
