/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,6.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;85.294573
1;SP GFLOPS;9.173045
1;DP GFLOPS;1.301181
1;x87 GFLOPS;0.0
1;IPC;1.388285
1;Average CPU Frequency;3292172521.771938
1;Total Thread Count;
1;CPU Time;83.846400
0;Effective Physical Core Utilization;1.5% (0.983 out of 64)
1;Effective Logical Core Utilization;0.8% (0.983 out of 128)
0;Memory Bound;31.0
1;Cache Bound;21.5
1;DRAM Bound;6.7
1;NUMA: % of Remote Accesses;1.3
0;Vectorization;47.7
1;Instruction Mix;
2;SP FLOPs;12.2
3;Packed;92.2
4;128-bit;0.0
4;256-bit;17.2
4;512-bit;75.0
3;Scalar;7.8
2;DP FLOPs;14.2
3;Packed;9.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;9.2
3;Scalar;90.8
2;x87 FLOPs;0.0
2;Non-FP;73.6
1;FP Arith/Mem Rd Instr. Ratio;1.123648
1;FP Arith/Mem Wr Instr. Ratio;3.529380
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220530-1006
1;Result Size;3304582
1;Collection start time;09:28:13 30/05/2022 UTC
1;Collection stop time;09:29:39 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983893
2;Logical CPU Count;128
