/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,7.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.135854
1;SP GFLOPS;0.395184
1;DP GFLOPS;0.056838
1;x87 GFLOPS;0.0
1;IPC;1.155997
1;Average CPU Frequency;2402876122.244486
1;Total Thread Count;
1;CPU Time;0.235857
0;Effective Physical Core Utilization;0.2% (0.154 out of 64)
1;Effective Logical Core Utilization;0.1% (0.110 out of 128)
0;Memory Bound;28.8
1;Cache Bound;31.1
1;DRAM Bound;4.0
1;NUMA: % of Remote Accesses;0.5
0;Vectorization;90.2
1;Instruction Mix;
2;SP FLOPs;7.3
3;Packed;100.0
4;128-bit;0.2
4;256-bit;0.0
4;512-bit;99.8
3;Scalar;0.0
2;DP FLOPs;3.0
3;Packed;66.2
4;128-bit;0.0
4;256-bit;0.4
4;512-bit;65.9
3;Scalar;33.8
2;x87 FLOPs;0.0
2;Non-FP;89.7
1;FP Arith/Mem Rd Instr. Ratio;0.225952
1;FP Arith/Mem Wr Instr. Ratio;0.482038
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;19
1;Computer Name;instance-20220601-1914
1;Result Size;3286148
1;Collection start time;23:00:54 01/06/2022 UTC
1;Collection stop time;23:00:56 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979499
2;Logical CPU Count;128
