/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,3.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;11.861708
1;SP GFLOPS;7.216532
1;DP GFLOPS;1.010248
1;x87 GFLOPS;0.0
1;IPC;1.431960
1;Average CPU Frequency;3259913454.044916
1;Total Thread Count;
1;CPU Time;10.197637
0;Effective Physical Core Utilization;1.4% (0.864 out of 64)
1;Effective Logical Core Utilization;0.7% (0.860 out of 128)
0;Memory Bound;29.8
1;Cache Bound;22.4
1;DRAM Bound;6.0
1;NUMA: % of Remote Accesses;3.5
0;Vectorization;48.2
1;Instruction Mix;
2;SP FLOPs;11.4
3;Packed;92.2
4;128-bit;0.0
4;256-bit;21.0
4;512-bit;71.2
3;Scalar;7.8
2;DP FLOPs;12.8
3;Packed;9.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;9.1
3;Scalar;90.9
2;x87 FLOPs;0.0
2;Non-FP;75.8
1;FP Arith/Mem Rd Instr. Ratio;1.023134
1;FP Arith/Mem Wr Instr. Ratio;2.913345
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;5
1;Computer Name;instance-20220530-1006
1;Result Size;3286277
1;Collection start time;09:24:27 30/05/2022 UTC
1;Collection stop time;09:24:39 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983883
2;Logical CPU Count;128
