/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,21.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;8.848240
1;SP GFLOPS;10.082502
1;DP GFLOPS;0.151995
1;x87 GFLOPS;0.0
1;IPC;1.200487
1;Average CPU Frequency;3245121528.648050
1;Total Thread Count;
1;CPU Time;7.397423
0;Effective Physical Core Utilization;1.3% (0.847 out of 64)
1;Effective Logical Core Utilization;0.7% (0.836 out of 128)
0;Memory Bound;28.3
1;Cache Bound;23.6
1;DRAM Bound;4.2
1;NUMA: % of Remote Accesses;1.4
0;Vectorization;80.6
1;Instruction Mix;
2;SP FLOPs;17.7
3;Packed;92.9
4;128-bit;0.0
4;256-bit;15.0
4;512-bit;77.9
3;Scalar;7.1
2;DP FLOPs;2.8
3;Packed;4.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.2
3;Scalar;95.8
2;x87 FLOPs;0.0
2;Non-FP;79.5
1;FP Arith/Mem Rd Instr. Ratio;0.914003
1;FP Arith/Mem Wr Instr. Ratio;2.774933
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;8
1;Computer Name;instance-20220601-1914
1;Result Size;3286257
1;Collection start time;22:39:08 01/06/2022 UTC
1;Collection stop time;22:39:17 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979084
2;Logical CPU Count;128
