/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,3.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;8.783361
1;SP GFLOPS;10.627780
1;DP GFLOPS;0.189595
1;x87 GFLOPS;0.0
1;IPC;1.199056
1;Average CPU Frequency;2915817573.284650
1;Total Thread Count;
1;CPU Time;7.397968
0;Effective Physical Core Utilization;1.3% (0.848 out of 64)
1;Effective Logical Core Utilization;0.7% (0.842 out of 128)
0;Memory Bound;30.6
1;Cache Bound;25.1
1;DRAM Bound;3.6
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;77.8
1;Instruction Mix;
2;SP FLOPs;21.7
3;Packed;91.1
4;128-bit;0.0
4;256-bit;19.1
4;512-bit;72.0
3;Scalar;8.9
2;DP FLOPs;3.9
3;Packed;4.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.2
3;Scalar;95.7
2;x87 FLOPs;0.0
2;Non-FP;74.4
1;FP Arith/Mem Rd Instr. Ratio;1.107896
1;FP Arith/Mem Wr Instr. Ratio;4.044295
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;8
1;Computer Name;instance-20220601-1914
1;Result Size;3286262
1;Collection start time;22:39:08 01/06/2022 UTC
1;Collection stop time;22:39:17 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979087
2;Logical CPU Count;128
