/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,14.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;7.031782
1;SP GFLOPS;4.762751
1;DP GFLOPS;1.009382
1;x87 GFLOPS;0.0
1;IPC;1.613471
1;Average CPU Frequency;3214514946.050671
1;Total Thread Count;
1;CPU Time;5.755141
0;Effective Physical Core Utilization;1.3% (0.833 out of 64)
1;Effective Logical Core Utilization;0.6% (0.818 out of 128)
0;Memory Bound;27.4
1;Cache Bound;19.8
1;DRAM Bound;5.1
1;NUMA: % of Remote Accesses;5.8
0;Vectorization;31.9
1;Instruction Mix;
2;SP FLOPs;7.0
3;Packed;92.4
4;128-bit;0.0
4;256-bit;15.9
4;512-bit;76.5
3;Scalar;7.6
2;DP FLOPs;15.3
3;Packed;4.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.4
3;Scalar;95.6
2;x87 FLOPs;0.0
2;Non-FP;77.8
1;FP Arith/Mem Rd Instr. Ratio;0.859192
1;FP Arith/Mem Wr Instr. Ratio;2.308442
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-7.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220601-1914
1;Result Size;3286254
1;Collection start time;18:53:34 01/06/2022 UTC
1;Collection stop time;18:53:41 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979101
2;Logical CPU Count;128
