/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,20.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;15.359329
1;SP GFLOPS;5.226040
1;DP GFLOPS;0.444062
1;x87 GFLOPS;0.0
1;IPC;1.433896
1;Average CPU Frequency;3144356406.875087
1;Total Thread Count;
1;CPU Time;13.452465
0;Effective Physical Core Utilization;1.4% (0.879 out of 64)
1;Effective Logical Core Utilization;0.7% (0.876 out of 128)
0;Memory Bound;18.9
1;Cache Bound;16.0
1;DRAM Bound;3.9
1;NUMA: % of Remote Accesses;1.4
0;Vectorization;76.8
1;Instruction Mix;
2;SP FLOPs;7.8
3;Packed;92.3
4;128-bit;0.0
4;256-bit;18.2
4;512-bit;74.1
3;Scalar;7.7
2;DP FLOPs;2.7
3;Packed;32.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;32.4
3;Scalar;67.6
2;x87 FLOPs;0.0
2;Non-FP;89.5
1;FP Arith/Mem Rd Instr. Ratio;0.427280
1;FP Arith/Mem Wr Instr. Ratio;0.892561
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220526-1048
1;Result Size;3286259
1;Collection start time;17:20:56 26/05/2022 UTC
1;Collection stop time;17:21:12 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975884
2;Logical CPU Count;128
