/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,23.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;6.800745
1;SP GFLOPS;1.255664
1;DP GFLOPS;0.197078
1;x87 GFLOPS;0.0
1;IPC;1.402348
1;Average CPU Frequency;3229875452.923183
1;Total Thread Count;
1;CPU Time;4.669849
0;Effective Physical Core Utilization;1.1% (0.694 out of 64)
1;Effective Logical Core Utilization;0.5% (0.687 out of 128)
0;Memory Bound;15.1
1;Cache Bound;18.3
1;DRAM Bound;3.1
1;NUMA: % of Remote Accesses;0.7
0;Vectorization;94.5
1;Instruction Mix;
2;SP FLOPs;1.9
3;Packed;99.1
4;128-bit;1.4
4;256-bit;0.0
4;512-bit;97.7
3;Scalar;0.9
2;DP FLOPs;0.7
3;Packed;81.9
4;128-bit;0.0
4;256-bit;1.0
4;512-bit;80.9
3;Scalar;18.1
2;x87 FLOPs;0.0
2;Non-FP;97.4
1;FP Arith/Mem Rd Instr. Ratio;0.110477
1;FP Arith/Mem Wr Instr. Ratio;0.174554
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;2
1;Computer Name;instance-20220530-1006
1;Result Size;3286246
1;Collection start time;15:02:53 31/05/2022 UTC
1;Collection stop time;15:03:00 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983892
2;Logical CPU Count;128
