/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,42.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.471836
1;SP GFLOPS;2.967853
1;DP GFLOPS;0.403513
1;x87 GFLOPS;0.0
1;IPC;1.378630
1;Average CPU Frequency;3080334459.917994
1;Total Thread Count;
1;CPU Time;2.269318
0;Effective Physical Core Utilization;0.8% (0.515 out of 64)
1;Effective Logical Core Utilization;0.4% (0.507 out of 128)
0;Memory Bound;26.4
1;Cache Bound;21.4
1;DRAM Bound;5.7
1;NUMA: % of Remote Accesses;2.9
0;Vectorization;48.2
1;Instruction Mix;
2;SP FLOPs;9.0
3;Packed;92.0
4;128-bit;0.0
4;256-bit;19.8
4;512-bit;72.2
3;Scalar;8.0
2;DP FLOPs;10.0
3;Packed;8.8
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;8.8
3;Scalar;91.2
2;x87 FLOPs;0.0
2;Non-FP;81.0
1;FP Arith/Mem Rd Instr. Ratio;0.777696
1;FP Arith/Mem Wr Instr. Ratio;1.985796
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;7
1;Computer Name;instance-20220601-1914
1;Result Size;3286233
1;Collection start time;18:29:26 01/06/2022 UTC
1;Collection stop time;18:29:30 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979081
2;Logical CPU Count;128
