/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,21.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;5.244925
1;SP GFLOPS;0.480728
1;DP GFLOPS;0.037201
1;x87 GFLOPS;0.0
1;IPC;1.145842
1;Average CPU Frequency;2900895274.850689
1;Total Thread Count;
1;CPU Time;4.264463
0;Effective Physical Core Utilization;1.3% (0.819 out of 64)
1;Effective Logical Core Utilization;0.6% (0.813 out of 128)
0;Memory Bound;14.4
1;Cache Bound;11.6
1;DRAM Bound;1.7
1;NUMA: % of Remote Accesses;0.8
0;Vectorization;58.4
1;Instruction Mix;
2;SP FLOPs;2.3
3;Packed;79.4
4;128-bit;5.9
4;256-bit;66.4
4;512-bit;7.1
3;Scalar;20.6
2;DP FLOPs;0.9
3;Packed;5.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;5.0
3;Scalar;95.0
2;x87 FLOPs;0.0
2;Non-FP;96.8
1;FP Arith/Mem Rd Instr. Ratio;0.124117
1;FP Arith/Mem Wr Instr. Ratio;0.231834
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;10
1;Computer Name;instance-20220530-1006
1;Result Size;3286244
1;Collection start time;15:07:43 31/05/2022 UTC
1;Collection stop time;15:07:49 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983886
2;Logical CPU Count;128
