Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-04-21 16:19:33
Number of ranks;4
Ranks per node;4
OpenMP threads number, per Rank;1
Used statistics;./in.rhodo.scaled.timer_4n_1ont_864k_aps
Elapsed Time, s;46.87
MPI Time, s;1.10
MPI Time, % of Elapsed Time;2.35
MPI Imbalance, s;0.70
MPI Imbalance, % of Elapsed Time;1.50

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Send, s;0.35
MPI Hotspot 1 - MPI_Send, % of Elapsed Time;0.74
MPI Hotspot 2 - MPI_Wait, s;0.32
MPI Hotspot 2 - MPI_Wait, % of Elapsed Time;0.67
MPI Hotspot 3 - MPI_Sendrecv, s;0.11
MPI Hotspot 3 - MPI_Sendrecv, % of Elapsed Time;0.24
MPI Hotspot 4 - MPI_Allreduce, s;0.11
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.24
MPI Hotspot 5 - MPI_Init, s;0.10
MPI Hotspot 5 - MPI_Init, % of Elapsed Time;0.22
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         3579.00
Peak resident set node;instance-20220421-1624
Average resident set size,MB;         3579.00
Per rank
Peak resident set size,MB;          898.00
Peak resident set rank;1
Average resident set size,MB;          894.75
Virtual
Per node
Peak memory consumption,MB;        21927.00
Peak memory consumption node;instance-20220421-1624
Average memory consumption,MB;        21927.00
Per rank
Peak memory consumption,MB;         5484.00
Peak memory consumption rank;1
Average memory consumption,MB;         5481.75
