Summary information
Application;lmp_intel_cpu_intelmpi
Report creation date;2022-05-19 14:44:39
Number of ranks;32
Ranks per node;32
OpenMP threads number, per Rank;1
HW Platform;Intel(R) Xeon(R) Processor code named Icelake
Frequency;2593987397
Logical core count per node;128
Collector type;Driverless Perf system-wide counting
Used statistics;./in.chute.timer_32n_1ont_256k_aps
Elapsed Time, s;2.20
SP GFLOPS;0.00
DP GFLOPS;0.37
Average CPU Frequency, GHz;                      1.39
Instructions Per Cycle Rate;1.39
MPI Time, s;1.35
MPI Time, % of Elapsed Time;61.71
MPI Imbalance, s;0.03
MPI Imbalance, % of Elapsed Time;1.34

Top 5 MPI functions (avg time)
Name;Time,sec;% from Elapsed time
MPI Hotspot 1 - MPI_Init, s;1.30
MPI Hotspot 1 - MPI_Init, % of Elapsed Time;58.99
MPI Hotspot 2 - MPI_Bcast, s;0.04
MPI Hotspot 2 - MPI_Bcast, % of Elapsed Time;1.91
MPI Hotspot 3 - MPI_Finalize, s;0.01
MPI Hotspot 3 - MPI_Finalize, % of Elapsed Time;0.31
MPI Hotspot 4 - MPI_Allreduce, s;0.00
MPI Hotspot 4 - MPI_Allreduce, % of Elapsed Time;0.18
MPI Hotspot 5 - MPI_Wait, s;0.00
MPI Hotspot 5 - MPI_Wait, % of Elapsed Time;0.14
Memory Stalls, % of Pipeline Slots;9.10
Cache Stalls, % of Cycles;22.40
DRAM Stalls, % of Cycles;6.60
DRAM Bandwidth Peak, GB/s;135.91
DRAM Bandwidth Average, GB/s;3.26
DRAM Bandwidth Bound, %;2.10
NUMA, % of Remote Accesses;2.20
Vectorization, %;1.20
SP FLOPs, % of uOps;0.00
DP FLOPs, % of uOps;1.70
DP Packed, % from DP FP;1.20
DP 128-bit, %;0.00
DP 256-bit, %;0.00
DP 512-bit, %;1.20
DP Scalar, % from DP FP;98.80
Non-FP, % of uOps;98.30
FP Arith/Mem Rd Instr. Ratio;0.07
FP Arith/Mem Wr Instr. Ratio;0.12
Disk I/O Bound, s;0.00
Memory Footprint
Resident
Per node
Peak resident set size,MB;         3983.00
Peak resident set node;instance-20220519-1049
Average resident set size,MB;         3983.00
Per rank
Peak resident set size,MB;          129.00
Peak resident set rank;2
Average resident set size,MB;          124.47
Virtual
Per node
Peak memory consumption,MB;       169635.00
Peak memory consumption node;instance-20220519-1049
Average memory consumption,MB;       169635.00
Per rank
Peak memory consumption,MB;         5306.00
Peak memory consumption rank;5
Average memory consumption,MB;         5301.09
