/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,61.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;8.726747
1;SP GFLOPS;5.156873
1;DP GFLOPS;0.665105
1;x87 GFLOPS;0.0
1;IPC;1.246227
1;Average CPU Frequency;3052990471.514805
1;Total Thread Count;
1;CPU Time;6.386428
0;Effective Physical Core Utilization;1.1% (0.733 out of 64)
1;Effective Logical Core Utilization;0.6% (0.732 out of 128)
0;Memory Bound;33.3
1;Cache Bound;23.8
1;DRAM Bound;7.5
1;NUMA: % of Remote Accesses;3.6
0;Vectorization;50.7
1;Instruction Mix;
2;SP FLOPs;11.2
3;Packed;93.3
4;128-bit;0.0
4;256-bit;17.8
4;512-bit;75.5
3;Scalar;6.7
2;DP FLOPs;11.7
3;Packed;9.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;9.7
3;Scalar;90.3
2;x87 FLOPs;0.0
2;Non-FP;77.1
1;FP Arith/Mem Rd Instr. Ratio;0.969857
1;FP Arith/Mem Wr Instr. Ratio;2.645131
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;5
1;Computer Name;instance-20220530-1006
1;Result Size;3286261
1;Collection start time;09:24:48 30/05/2022 UTC
1;Collection stop time;09:24:57 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983884
2;Logical CPU Count;128
