/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,15.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;20.059169
1;SP GFLOPS;4.574607
1;DP GFLOPS;0.380182
1;x87 GFLOPS;0.0
1;IPC;1.305361
1;Average CPU Frequency;3128304628.097559
1;Total Thread Count;
1;CPU Time;17.885833
0;Effective Physical Core Utilization;1.4% (0.897 out of 64)
1;Effective Logical Core Utilization;0.7% (0.892 out of 128)
0;Memory Bound;22.0
1;Cache Bound;17.5
1;DRAM Bound;6.2
1;NUMA: % of Remote Accesses;1.1
0;Vectorization;77.2
1;Instruction Mix;
2;SP FLOPs;7.4
3;Packed;92.2
4;128-bit;0.0
4;256-bit;16.2
4;512-bit;76.1
3;Scalar;7.8
2;DP FLOPs;2.5
3;Packed;33.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;33.0
3;Scalar;67.0
2;x87 FLOPs;0.0
2;Non-FP;90.1
1;FP Arith/Mem Rd Instr. Ratio;0.408525
1;FP Arith/Mem Wr Instr. Ratio;0.888081
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;3
1;Computer Name;instance-20220526-1048
1;Result Size;3286276
1;Collection start time;17:29:33 26/05/2022 UTC
1;Collection stop time;17:29:53 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975870
2;Logical CPU Count;128
