/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,15.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.245745
1;SP GFLOPS;1.133152
1;DP GFLOPS;0.019872
1;x87 GFLOPS;0.0
1;IPC;1.655659
1;Average CPU Frequency;2508516495.233652
1;Total Thread Count;
1;CPU Time;1.689859
0;Effective Physical Core Utilization;1.2% (0.783 out of 64)
1;Effective Logical Core Utilization;0.6% (0.752 out of 128)
0;Memory Bound;13.4
1;Cache Bound;16.5
1;DRAM Bound;1.2
1;NUMA: % of Remote Accesses;3.5
0;Vectorization;82.8
1;Instruction Mix;
2;SP FLOPs;1.8
3;Packed;95.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;95.2
3;Scalar;4.8
2;DP FLOPs;0.3
3;Packed;8.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;8.7
3;Scalar;91.3
2;x87 FLOPs;0.0
2;Non-FP;97.9
1;FP Arith/Mem Rd Instr. Ratio;0.080122
1;FP Arith/Mem Wr Instr. Ratio;0.127035
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220530-1006
1;Result Size;3286190
1;Collection start time;14:50:19 31/05/2022 UTC
1;Collection stop time;14:50:22 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983920
2;Logical CPU Count;128
