/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220703/hwmetrics/results.instance-20220703-1452,14.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;5.356991
1;SP GFLOPS;0.946295
1;DP GFLOPS;0.536928
1;x87 GFLOPS;0.0
1;IPC;1.474986
1;Average CPU Frequency;2572012007.382633
1;Total Thread Count;
1;CPU Time;3.823133
0;Effective Physical Core Utilization;1.1% (0.731 out of 64)
1;Effective Logical Core Utilization;0.6% (0.714 out of 128)
0;Memory Bound;13.5
1;Cache Bound;16.8
1;DRAM Bound;0.5
1;NUMA: % of Remote Accesses;21.8
0;Vectorization;39.8
1;Instruction Mix;
2;SP FLOPs;3.4
3;Packed;53.2
4;128-bit;0.0
4;256-bit;0.9
4;512-bit;52.3
3;Scalar;46.8
2;DP FLOPs;5.5
3;Packed;31.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;31.3
3;Scalar;68.7
2;x87 FLOPs;0.0
2;Non-FP;91.1
1;FP Arith/Mem Rd Instr. Ratio;0.329472
1;FP Arith/Mem Wr Instr. Ratio;0.794151
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.chain-long" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;10
1;Computer Name;instance-20220703-1452
1;Result Size;3286332
1;Collection start time;13:33:06 03/07/2022 UTC
1;Collection stop time;13:33:11 03/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593977851
2;Logical CPU Count;128
