/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,4.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.659245
1;SP GFLOPS;0.592844
1;DP GFLOPS;0.013087
1;x87 GFLOPS;0.0
1;IPC;1.591601
1;Average CPU Frequency;2515759556.646496
1;Total Thread Count;
1;CPU Time;1.597016
0;Effective Physical Core Utilization;1.0% (0.624 out of 64)
1;Effective Logical Core Utilization;0.5% (0.601 out of 128)
0;Memory Bound;11.4
1;Cache Bound;12.6
1;DRAM Bound;0.7
1;NUMA: % of Remote Accesses;4.3
0;Vectorization;83.9
1;Instruction Mix;
2;SP FLOPs;1.2
3;Packed;96.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;96.9
3;Scalar;3.1
2;DP FLOPs;0.2
3;Packed;12.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;12.6
3;Scalar;87.4
2;x87 FLOPs;0.0
2;Non-FP;98.5
1;FP Arith/Mem Rd Instr. Ratio;0.049808
1;FP Arith/Mem Wr Instr. Ratio;0.082808
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;9
1;Computer Name;instance-20220530-1006
1;Result Size;3286189
1;Collection start time;14:50:29 31/05/2022 UTC
1;Collection stop time;14:50:31 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983855
2;Logical CPU Count;128
