/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220530/hwmetrics/results.instance-20220530-1006,1.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;52.927870
1;SP GFLOPS;12.191924
1;DP GFLOPS;1.094190
1;x87 GFLOPS;0.0
1;IPC;1.268044
1;Average CPU Frequency;3255113131.938449
1;Total Thread Count;
1;CPU Time;52.099120
0;Effective Physical Core Utilization;1.5% (0.985 out of 64)
1;Effective Logical Core Utilization;0.8% (0.984 out of 128)
0;Memory Bound;28.7
1;Cache Bound;23.1
1;DRAM Bound;4.5
1;NUMA: % of Remote Accesses;1.4
0;Vectorization;70.0
1;Instruction Mix;
2;SP FLOPs;16.6
3;Packed;92.5
4;128-bit;0.0
4;256-bit;20.7
4;512-bit;71.7
3;Scalar;7.5
2;DP FLOPs;7.8
3;Packed;22.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;22.0
3;Scalar;78.0
2;x87 FLOPs;0.0
2;Non-FP;75.6
1;FP Arith/Mem Rd Instr. Ratio;1.132545
1;FP Arith/Mem Wr Instr. Ratio;4.165890
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-5.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220530-1006
1;Result Size;3304570
1;Collection start time;09:02:12 30/05/2022 UTC
1;Collection stop time;09:03:05 30/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983899
2;Logical CPU Count;128
