/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,24.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;13.334980
1;SP GFLOPS;7.395136
1;DP GFLOPS;0.679640
1;x87 GFLOPS;0.0
1;IPC;1.091635
1;Average CPU Frequency;2898031789.866169
1;Total Thread Count;
1;CPU Time;11.074480
0;Effective Physical Core Utilization;1.3% (0.836 out of 64)
1;Effective Logical Core Utilization;0.6% (0.830 out of 128)
0;Memory Bound;33.2
1;Cache Bound;23.4
1;DRAM Bound;9.0
1;NUMA: % of Remote Accesses;2.5
0;Vectorization;71.1
1;Instruction Mix;
2;SP FLOPs;15.3
3;Packed;93.9
4;128-bit;0.0
4;256-bit;18.9
4;512-bit;75.1
3;Scalar;6.1
2;DP FLOPs;7.3
3;Packed;23.2
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;23.2
3;Scalar;76.8
2;x87 FLOPs;0.0
2;Non-FP;77.4
1;FP Arith/Mem Rd Instr. Ratio;1.037587
1;FP Arith/Mem Wr Instr. Ratio;3.491837
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-5.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;7
1;Computer Name;instance-20220601-1914
1;Result Size;3286279
1;Collection start time;18:23:15 01/06/2022 UTC
1;Collection stop time;18:23:28 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979092
2;Logical CPU Count;128
