Time(%),Total Time (ns),Instances,Average (ns),Minimum (ns),Maximum (ns),StdDev (ns),Category,Operation,Benchmark,Size,GPUs
72.1,25302799186,12,2108566598.8,1992683658,2217398934,105540369.5,CUDA_API,cuCtxCreate_v2,in.chain,32,1
25.7,9012551188,12,751045932.3,694053875,784409316,30159706.2,CUDA_API,cuCtxDestroy_v2,in.chain,32,1
0.9,320352091,3642,87960.5,1621,1140299,203208.0,CUDA_API,cuEventSynchronize,in.chain,32,1
0.5,168130239,486,345947.0,15999,709273,235682.6,CUDA_API,cuMemcpyHtoD_v2,in.chain,32,1
0.3,96047722,36,2667992.3,7678,15718270,5150098.2,CUDA_API,cuMemHostAlloc,in.chain,32,1
0.2,79476892,72,1103845.7,7466,8148781,2115230.7,CUDA_API,cuMemFreeHost,in.chain,32,1
0.1,23147592,156,148382.0,5328,2925622,483381.1,CUDA_API,cuMemFree_v2,in.chain,32,1
0.0,16924270,6168,2743.9,1757,15495,1200.4,CUDA_API,cuEventRecord,in.chain,32,1
0.0,15133478,1470,10294.9,1599,23648,5236.8,MEMORY_OPER,[CUDA memcpy HtoD],in.chain,32,1
0.0,11692825,1152,10150.0,5227,40952,3883.0,CUDA_API,cuLaunchKernel,in.chain,32,1
0.0,10804888,156,69262.1,4704,1062455,184590.2,CUDA_API,cuMemAlloc_v2,in.chain,32,1
0.0,9643578,36,267877.2,6843,1569764,585175.9,CUDA_API,cuMemAllocHost_v2,in.chain,32,1
0.0,9587862,696,13775.7,1888,21760,4471.9,MEMORY_OPER,[CUDA memcpy DtoH],in.chain,32,1
0.0,7988614,984,8118.5,3738,22312,2599.3,CUDA_API,cuMemcpyHtoDAsync_v2,in.chain,32,1
0.0,5679947,156,36409.9,33088,37600,676.3,CUDA_KERNEL,calc_neigh_list_cell,in.chain,32,1
0.0,5672432,606,9360.4,7808,20128,1546.5,CUDA_KERNEL,k_lj_fast,in.chain,32,1
0.0,3915583,684,5724.5,3740,15570,1027.9,CUDA_API,cuMemcpyDtoHAsync_v2,in.chain,32,1
0.0,3555980,132,26939.2,2074,595684,79918.5,CUDA_API,cuStreamSynchronize,in.chain,32,1
0.0,3491433,24,145476.4,76179,215896,47123.6,CUDA_API,cuModuleLoadDataEx,in.chain,32,1
0.0,1268345,156,8130.4,6816,9056,334.8,CUDA_KERNEL,kernel_special,in.chain,32,1
0.0,1028288,6,171381.3,91322,252052,62218.5,CUDA_API,cuMemGetInfo_v2,in.chain,32,1
0.0,763267,156,4892.7,4127,8640,342.1,CUDA_KERNEL,transpose,in.chain,32,1
0.0,486415,12,40534.6,33460,46974,4558.7,CUDA_API,cuMemcpyDtoH_v2,in.chain,32,1
0.0,234884,66,3558.8,3072,4000,164.4,CUDA_KERNEL,kernel_zero,in.chain,32,1
0.0,192243,192,1001.3,530,5749,741.4,CUDA_API,cuEventCreate,in.chain,32,1
0.0,100339,192,522.6,300,1559,229.5,CUDA_API,cuEventDestroy_v2,in.chain,32,1
0.0,73554,6,12259.0,11541,13520,759.2,CUDA_API,cuMemsetD8Async,in.chain,32,1
0.0,46142,12,3845.2,3712,4096,111.6,CUDA_KERNEL,kernel_info,in.chain,32,1
0.0,33176,6,5529.3,5284,5810,193.7,CUDA_API,cuInit,in.chain,32,1
0.0,11904,6,1984.0,1856,2208,161.9,MEMORY_OPER,[CUDA memset],in.chain,32,1
64.4,89277543962,24,3719897665.1,3606949478,3756561289,37046935.3,CUDA_API,cuCtxCreate_v2,in.chain,32,2
34.2,47499723609,24,1979155150.4,1913103087,2006702655,27826134.8,CUDA_API,cuCtxDestroy_v2,in.chain,32,2
0.5,657688969,7284,90292.3,1609,1294100,200469.9,CUDA_API,cuEventSynchronize,in.chain,32,2
0.3,427532336,72,5937949.1,7025,35651944,11794440.0,CUDA_API,cuMemHostAlloc,in.chain,32,2
0.2,294870865,972,303365.1,15616,905429,222622.6,CUDA_API,cuMemcpyHtoD_v2,in.chain,32,2
0.2,277034529,144,1923850.9,7332,15569047,3932037.0,CUDA_API,cuMemFreeHost,in.chain,32,2
0.1,85576735,314,272537.4,5378,6236109,999598.4,CUDA_API,cuMemFree_v2,in.chain,32,2
0.0,37534081,314,119535.3,4317,2644068,350369.4,CUDA_API,cuMemAlloc_v2,in.chain,32,2
0.0,34294803,12336,2780.1,1732,26325,1328.4,CUDA_API,cuEventRecord,in.chain,32,2
0.0,23547331,2304,10220.2,4964,39722,4242.2,CUDA_API,cuLaunchKernel,in.chain,32,2
0.0,22747421,2940,7737.2,1536,22400,4483.4,MEMORY_OPER,[CUDA memcpy HtoD],in.chain,32,2
0.0,22568187,72,313447.0,5991,1912691,684086.9,CUDA_API,cuMemAllocHost_v2,in.chain,32,2
0.0,15859268,1968,8058.6,3537,30805,3067.2,CUDA_API,cuMemcpyHtoDAsync_v2,in.chain,32,2
0.0,10596550,1392,7612.5,1792,18080,2195.2,MEMORY_OPER,[CUDA memcpy DtoH],in.chain,32,2
0.0,9129548,312,29261.4,26656,32160,1403.8,CUDA_KERNEL,calc_neigh_list_cell,in.chain,32,2
0.0,8584694,1212,7083.1,6271,18208,1104.5,CUDA_KERNEL,k_lj_fast,in.chain,32,2
0.0,8080419,1368,5906.7,3805,21990,1381.0,CUDA_API,cuMemcpyDtoHAsync_v2,in.chain,32,2
0.0,7558193,48,157462.4,76770,209851,40370.8,CUDA_API,cuModuleLoadDataEx,in.chain,32,2
0.0,6890442,264,26100.2,2057,594798,75996.0,CUDA_API,cuStreamSynchronize,in.chain,32,2
0.0,3147381,12,262281.8,82383,427366,115236.8,CUDA_API,cuMemGetInfo_v2,in.chain,32,2
0.0,1980554,312,6347.9,5728,10944,415.3,CUDA_KERNEL,kernel_special,in.chain,32,2
0.0,1220119,312,3910.6,3423,5217,293.3,CUDA_KERNEL,transpose,in.chain,32,2
0.0,1087182,24,45299.3,32195,112298,21055.5,CUDA_API,cuMemcpyDtoH_v2,in.chain,32,2
0.0,470719,132,3566.1,3200,4417,192.8,CUDA_KERNEL,kernel_zero,in.chain,32,2
0.0,397978,384,1036.4,474,14920,1246.0,CUDA_API,cuEventCreate,in.chain,32,2
0.0,206822,384,538.6,304,2119,245.4,CUDA_API,cuEventDestroy_v2,in.chain,32,2
0.0,153976,12,12831.3,12203,14060,669.0,CUDA_API,cuMemsetD8Async,in.chain,32,2
0.0,90302,24,3762.6,3488,4128,193.7,CUDA_KERNEL,kernel_info,in.chain,32,2
0.0,66958,12,5579.8,2606,6346,994.1,CUDA_API,cuInit,in.chain,32,2
0.0,21667,12,1805.6,1728,1856,48.0,MEMORY_OPER,[CUDA memset],in.chain,32,2
65.3,93867910288,24,3911162928.7,3653787101,4066787504,142484376.3,CUDA_API,cuCtxCreate_v2,in.chain,32,4
33.7,48438629689,24,2018276237.0,1958431150,2060010753,28686031.2,CUDA_API,cuCtxDestroy_v2,in.chain,32,4
0.3,438955226,72,6096600.4,6424,33417965,10992072.8,CUDA_API,cuMemHostAlloc,in.chain,32,4
0.2,279163567,144,1938635.9,7594,15985056,3916649.7,CUDA_API,cuMemFreeHost,in.chain,32,4
0.2,255680909,7284,35101.7,1583,611640,82831.7,CUDA_API,cuEventSynchronize,in.chain,32,4
0.1,164487883,972,169226.2,15043,788559,106442.5,CUDA_API,cuMemcpyHtoD_v2,in.chain,32,4
0.1,102625907,314,326834.1,5245,10880617,1210907.4,CUDA_API,cuMemFree_v2,in.chain,32,4
0.0,70367499,314,224100.3,4075,10565039,954533.6,CUDA_API,cuMemAlloc_v2,in.chain,32,4
0.0,34035965,12336,2759.1,1742,28875,1212.9,CUDA_API,cuEventRecord,in.chain,32,4
0.0,30042311,2940,10218.5,1536,30783,7453.1,MEMORY_OPER,[CUDA memcpy HtoD],in.chain,32,4
0.0,25701454,72,356964.6,6175,2385231,786986.2,CUDA_API,cuMemAllocHost_v2,in.chain,32,4
0.0,23742823,2304,10305.0,4955,66869,4465.9,CUDA_API,cuLaunchKernel,in.chain,32,4
0.0,16067863,1968,8164.6,3646,323849,7689.0,CUDA_API,cuMemcpyHtoDAsync_v2,in.chain,32,4
0.0,10245430,1392,7360.2,1663,20352,2204.0,MEMORY_OPER,[CUDA memcpy DtoH],in.chain,32,4
0.0,9524301,312,30526.6,27936,35392,1278.3,CUDA_KERNEL,calc_neigh_list_cell,in.chain,32,4
0.0,9111217,1212,7517.5,6400,19552,1188.8,CUDA_KERNEL,k_lj_fast,in.chain,32,4
0.0,8268189,1368,6044.0,3802,24452,1393.7,CUDA_API,cuMemcpyDtoHAsync_v2,in.chain,32,4
0.0,7368413,48,153508.6,74112,220230,41212.3,CUDA_API,cuModuleLoadDataEx,in.chain,32,4
0.0,3859064,264,14617.7,2022,303057,36412.7,CUDA_API,cuStreamSynchronize,in.chain,32,4
0.0,3139332,12,261611.0,71197,439058,120063.8,CUDA_API,cuMemGetInfo_v2,in.chain,32,4
0.0,2114213,312,6776.3,5951,10944,569.0,CUDA_KERNEL,kernel_special,in.chain,32,4
0.0,1373187,312,4401.2,3551,6784,688.5,CUDA_KERNEL,transpose,in.chain,32,4
0.0,1046345,24,43597.7,31683,109389,15531.7,CUDA_API,cuMemcpyDtoH_v2,in.chain,32,4
0.0,533766,132,4043.7,3168,5344,579.0,CUDA_KERNEL,kernel_zero,in.chain,32,4
0.0,390614,384,1017.2,476,13214,1042.0,CUDA_API,cuEventCreate,in.chain,32,4
0.0,209340,384,545.2,305,1791,246.8,CUDA_API,cuEventDestroy_v2,in.chain,32,4
0.0,148762,12,12396.8,10965,14726,1127.5,CUDA_API,cuMemsetD8Async,in.chain,32,4
0.0,93216,24,3884.0,3519,4289,246.0,CUDA_KERNEL,kernel_info,in.chain,32,4
0.0,67372,12,5614.3,5332,6200,239.7,CUDA_API,cuInit,in.chain,32,4
0.0,24992,12,2082.7,1760,2720,277.4,MEMORY_OPER,[CUDA memset],in.chain,32,4
64.6,210536445803,36,5848234605.6,5466612531,6162856124,286268304.8,CUDA_API,cuCtxCreate_v2,in.chain,32,6
34.4,111990702962,36,3110852860.1,3015962850,3141955357,28699807.3,CUDA_API,cuCtxDestroy_v2,in.chain,32,6
0.4,1251790994,108,11590657.4,7231,66525681,21731406.9,CUDA_API,cuMemHostAlloc,in.chain,32,6
0.2,746683584,216,3456868.4,7743,27936490,7138759.5,CUDA_API,cuMemFreeHost,in.chain,32,6
0.1,412608586,10926,37763.9,1601,583022,88274.3,CUDA_API,cuEventSynchronize,in.chain,32,6
0.1,363642380,469,775356.9,5174,16434488,3100757.5,CUDA_API,cuMemFree_v2,in.chain,32,6
0.1,244817272,1458,167913.1,16519,324649,110824.0,CUDA_API,cuMemcpyHtoD_v2,in.chain,32,6
0.1,168380948,469,359021.2,4180,13806802,1347559.1,CUDA_API,cuMemAlloc_v2,in.chain,32,6
0.0,73588577,108,681375.7,6899,8800597,1740638.5,CUDA_API,cuMemAllocHost_v2,in.chain,32,6
0.0,55987916,18504,3025.7,1745,26239,1438.5,CUDA_API,cuEventRecord,in.chain,32,6
0.0,39351086,3456,11386.3,4850,56058,5565.0,CUDA_API,cuLaunchKernel,in.chain,32,6
0.0,30836134,4410,6992.3,1600,23040,4280.6,MEMORY_OPER,[CUDA memcpy HtoD],in.chain,32,6
0.0,25809534,2952,8743.1,3558,35930,3650.2,CUDA_API,cuMemcpyHtoDAsync_v2,in.chain,32,6
0.0,14067490,2052,6855.5,3629,25301,2176.8,CUDA_API,cuMemcpyDtoHAsync_v2,in.chain,32,6
0.0,13792596,468,29471.4,27648,35488,766.9,CUDA_KERNEL,calc_neigh_list_cell,in.chain,32,6
0.0,13496332,1818,7423.7,6687,22080,1232.4,CUDA_KERNEL,k_lj_fast,in.chain,32,6
0.0,12437998,72,172750.0,74501,315995,57578.4,CUDA_API,cuModuleLoadDataEx,in.chain,32,6
0.0,11411882,2088,5465.5,1727,18496,1681.6,MEMORY_OPER,[CUDA memcpy DtoH],in.chain,32,6
0.0,6147863,18,341547.9,67722,608601,168223.3,CUDA_API,cuMemGetInfo_v2,in.chain,32,6
0.0,4964325,396,12536.2,2103,203315,26602.1,CUDA_API,cuStreamSynchronize,in.chain,32,6
0.0,3090788,468,6604.2,6208,12704,410.7,CUDA_KERNEL,kernel_special,in.chain,32,6
0.0,1933754,468,4132.0,3616,6239,520.4,CUDA_KERNEL,transpose,in.chain,32,6
0.0,1665597,36,46266.6,32416,123520,19476.3,CUDA_API,cuMemcpyDtoH_v2,in.chain,32,6
0.0,771049,198,3894.2,3360,7104,512.7,CUDA_KERNEL,kernel_zero,in.chain,32,6
0.0,713031,576,1237.9,488,22142,1550.8,CUDA_API,cuEventCreate,in.chain,32,6
0.0,349546,576,606.9,309,2234,298.9,CUDA_API,cuEventDestroy_v2,in.chain,32,6
0.0,282043,18,15669.1,12175,22924,3060.1,CUDA_API,cuMemsetD8Async,in.chain,32,6
0.0,139330,36,3870.3,3584,4191,160.8,CUDA_KERNEL,kernel_info,in.chain,32,6
0.0,99529,18,5529.4,3211,6870,673.0,CUDA_API,cuInit,in.chain,32,6
0.0,35360,18,1964.4,1824,2176,127.6,MEMORY_OPER,[CUDA memset],in.chain,32,6
65.1,390514409405,48,8135716862.6,7816848811,8351208484,185292482.7,CUDA_API,cuCtxCreate_v2,in.chain,32,8
33.9,203221461936,48,4233780457.0,4100153060,4279415393,43492835.7,CUDA_API,cuCtxDestroy_v2,in.chain,32,8
0.4,2192618486,144,15226517.3,7827,87667689,28453519.1,CUDA_API,cuMemHostAlloc,in.chain,32,8
