/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,10.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;5.653420
1;SP GFLOPS;6.631691
1;DP GFLOPS;0.960773
1;x87 GFLOPS;0.0
1;IPC;1.581100
1;Average CPU Frequency;2948988755.262345
1;Total Thread Count;
1;CPU Time;4.899095
0;Effective Physical Core Utilization;1.4% (0.877 out of 64)
1;Effective Logical Core Utilization;0.7% (0.867 out of 128)
0;Memory Bound;24.9
1;Cache Bound;21.8
1;DRAM Bound;2.7
1;NUMA: % of Remote Accesses;8.4
0;Vectorization;46.8
1;Instruction Mix;
2;SP FLOPs;10.3
3;Packed;92.0
4;128-bit;0.0
4;256-bit;19.7
4;512-bit;72.3
3;Scalar;8.0
2;DP FLOPs;12.2
3;Packed;8.7
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;8.7
3;Scalar;91.3
2;x87 FLOPs;0.0
2;Non-FP;77.5
1;FP Arith/Mem Rd Instr. Ratio;0.930826
1;FP Arith/Mem Wr Instr. Ratio;2.522608
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo-e-6" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;1
1;Computer Name;instance-20220601-1914
1;Result Size;3286247
1;Collection start time;18:25:38 01/06/2022 UTC
1;Collection stop time;18:25:44 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979096
2;Logical CPU Count;128
