/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;69.726888
1;SP GFLOPS;0.000000
1;DP GFLOPS;3.767752
1;x87 GFLOPS;0.0
1;IPC;1.066696
1;Average CPU Frequency;3295615521.990119
1;Total Thread Count;
1;CPU Time;34.798516
0;Effective Physical Core Utilization;0.8% (0.500 out of 64)
1;Effective Logical Core Utilization;0.4% (0.499 out of 128)
0;Memory Bound;26.4
1;Cache Bound;20.5
1;DRAM Bound;7.0
1;NUMA: % of Remote Accesses;0.1
0;Vectorization;96.2
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;100.0
2;DP FLOPs;19.1
3;Packed;96.2
4;128-bit;1.2
4;256-bit;0.0
4;512-bit;95.0
3;Scalar;3.8
2;x87 FLOPs;0.0
2;Non-FP;80.9
1;FP Arith/Mem Rd Instr. Ratio;1.204445
1;FP Arith/Mem Wr Instr. Ratio;3.818259
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220530-1006
1;Result Size;3304546
1;Collection start time;16:11:57 31/05/2022 UTC
1;Collection stop time;16:13:07 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983895
2;Logical CPU Count;128
