/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,37.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.834277
1;SP GFLOPS;0.000000
1;DP GFLOPS;0.563651
1;x87 GFLOPS;0.0
1;IPC;1.067343
1;Average CPU Frequency;2308271635.549174
1;Total Thread Count;
1;CPU Time;0.442157
0;Effective Physical Core Utilization;0.3% (0.172 out of 64)
1;Effective Logical Core Utilization;0.1% (0.156 out of 128)
0;Memory Bound;25.2
1;Cache Bound;23.1
1;DRAM Bound;3.5
1;NUMA: % of Remote Accesses;1.8
0;Vectorization;91.8
1;Instruction Mix;
2;SP FLOPs;0.0
3;Packed;0.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;0.0
3;Scalar;100.0
2;DP FLOPs;16.4
3;Packed;91.8
4;128-bit;0.7
4;256-bit;0.0
4;512-bit;91.1
3;Scalar;8.2
2;x87 FLOPs;0.0
2;Non-FP;83.6
1;FP Arith/Mem Rd Instr. Ratio;0.899251
1;FP Arith/Mem Wr Instr. Ratio;2.151304
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled" "-pk" "intel" "0" "omp" "1" "mode" "double" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;11
1;Computer Name;instance-20220601-1914
1;Result Size;3286184
1;Collection start time;23:02:21 01/06/2022 UTC
1;Collection stop time;23:02:24 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979060
2;Logical CPU Count;128
