/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220702/hwmetrics/results.instance-20220702-1848,31.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;10.983095
1;SP GFLOPS;3.900356
1;DP GFLOPS;1.477277
1;x87 GFLOPS;0.0
1;IPC;0.953717
1;Average CPU Frequency;2851921906.741551
1;Total Thread Count;
1;CPU Time;9.060127
0;Effective Physical Core Utilization;1.3% (0.829 out of 64)
1;Effective Logical Core Utilization;0.6% (0.825 out of 128)
0;Memory Bound;27.2
1;Cache Bound;26.6
1;DRAM Bound;1.7
1;NUMA: % of Remote Accesses;15.2
0;Vectorization;86.7
1;Instruction Mix;
2;SP FLOPs;6.1
3;Packed;100.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;100.0
3;Scalar;0.0
2;DP FLOPs;6.1
3;Packed;73.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;73.3
3;Scalar;26.7
2;x87 FLOPs;0.0
2;Non-FP;87.8
1;FP Arith/Mem Rd Instr. Ratio;0.858568
1;FP Arith/Mem Wr Instr. Ratio;1.678580
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.lj-long.scaled" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;5
1;Computer Name;instance-20220702-1848
1;Result Size;3286354
1;Collection start time;17:33:00 02/07/2022 UTC
1;Collection stop time;17:33:11 02/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593971871
2;Logical CPU Count;128
