/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,14.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.791146
1;SP GFLOPS;0.136964
1;DP GFLOPS;0.013272
1;x87 GFLOPS;0.0
1;IPC;0.981331
1;Average CPU Frequency;2519355452.177194
1;Total Thread Count;
1;CPU Time;1.732881
0;Effective Physical Core Utilization;1.0% (0.642 out of 64)
1;Effective Logical Core Utilization;0.5% (0.621 out of 128)
0;Memory Bound;12.7
1;Cache Bound;11.7
1;DRAM Bound;0.7
1;NUMA: % of Remote Accesses;2.1
0;Vectorization;49.1
1;Instruction Mix;
2;SP FLOPs;1.6
3;Packed;61.6
4;128-bit;5.1
4;256-bit;50.7
4;512-bit;5.8
3;Scalar;38.4
2;DP FLOPs;0.5
3;Packed;9.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;9.9
3;Scalar;90.1
2;x87 FLOPs;0.0
2;Non-FP;97.9
1;FP Arith/Mem Rd Instr. Ratio;0.101942
1;FP Arith/Mem Wr Instr. Ratio;0.210179
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220530-1006
1;Result Size;3286200
1;Collection start time;15:05:17 31/05/2022 UTC
1;Collection stop time;15:05:20 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983855
2;Logical CPU Count;128
