/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,0.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;11.690699
1;SP GFLOPS;6.333150
1;DP GFLOPS;0.936567
1;x87 GFLOPS;0.0
1;IPC;0.784103
1;Average CPU Frequency;3108302734.814195
1;Total Thread Count;
1;CPU Time;11.239994
0;Effective Physical Core Utilization;1.5% (0.963 out of 64)
1;Effective Logical Core Utilization;0.8% (0.961 out of 128)
0;Memory Bound;38.7
1;Cache Bound;33.5
1;DRAM Bound;5.4
1;NUMA: % of Remote Accesses;0.5
0;Vectorization;94.6
1;Instruction Mix;
2;SP FLOPs;11.4
3;Packed;98.3
4;128-bit;0.8
4;256-bit;0.0
4;512-bit;97.5
3;Scalar;1.7
2;DP FLOPs;3.9
3;Packed;83.5
4;128-bit;0.0
4;256-bit;0.7
4;512-bit;82.8
3;Scalar;16.5
2;x87 FLOPs;0.0
2;Non-FP;84.7
1;FP Arith/Mem Rd Instr. Ratio;0.952040
1;FP Arith/Mem Wr Instr. Ratio;2.774655
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220601-1914
1;Result Size;3286268
1;Collection start time;23:10:11 01/06/2022 UTC
1;Collection stop time;23:10:23 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979100
2;Logical CPU Count;128
