power.draw [W], uuid
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
60.96 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.79 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.23 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
60.96 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.23 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
60.96 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
60.96 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
60.96 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
60.96 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
62.86 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
58.99 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.49 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
61.85 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.82 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.34 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.35 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.49 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
66.20 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.49 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.35 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
60.44 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
59.96 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.49 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
60.44 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
60.44 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
64.31 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
60.44 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.34 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.45 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
60.44 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
63.34 W, GPU-cdc1e6b0-c1f4-441e-40f6-ba7b55962cfd
65.71 W, GPU-f0deb42b-8a4b-e9ef-cdfe-95ead8ca4716
63.82 W, GPU-4aa2d871-65ce-73ab-4ddc-2337f0cf1afa
62.33 W, GPU-3e852619-503a-84f4-5918-194a229a78d2
63.34 W, GPU-3dce3025-f546-0ebb-c48a-9465ef5b86ee
59.47 W, GPU-4a533c59-88f5-c898-61b2-e29981cd17e4
61.49 W, GPU-0bfa8b63-30ba-2e0c-80ef-99b89d9267a2
60.44 W, GPU-254fe923-5256-d79f-5437-de07b84e8e5f
