power.draw [W], uuid
90.78 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
48.42 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
89.82 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
48.42 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
91.26 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
69.19 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.93 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.93 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.45 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.45 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.45 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.96 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.96 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.96 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
69.19 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
73.93 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.48 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.48 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.48 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
68.71 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.48 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
69.19 W, GPU-ec98bbdd-6a32-79f1-18fc-6b3d8cc17fb3
72.48 W, GPU-82c3aeea-dc79-bdc3-5045-eeb676fdc407
