/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,33.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;3.379301
1;SP GFLOPS;0.190437
1;DP GFLOPS;0.094987
1;x87 GFLOPS;0.0
1;IPC;1.254275
1;Average CPU Frequency;2483794832.602740
1;Total Thread Count;
1;CPU Time;1.276882
0;Effective Physical Core Utilization;0.6% (0.397 out of 64)
1;Effective Logical Core Utilization;0.3% (0.378 out of 128)
0;Memory Bound;15.7
1;Cache Bound;14.0
1;DRAM Bound;3.2
1;NUMA: % of Remote Accesses;0.6
0;Vectorization;33.1
1;Instruction Mix;
2;SP FLOPs;1.9
3;Packed;43.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;43.6
3;Scalar;56.4
2;DP FLOPs;2.5
3;Packed;25.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;25.4
3;Scalar;74.6
2;x87 FLOPs;0.0
2;Non-FP;95.6
1;FP Arith/Mem Rd Instr. Ratio;0.158213
1;FP Arith/Mem Wr Instr. Ratio;0.337534
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220526-1048
1;Result Size;3286208
1;Collection start time;17:34:01 26/05/2022 UTC
1;Collection stop time;17:34:05 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975839
2;Logical CPU Count;128
