/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220526/hwmetrics/results.instance-20220526-1048,43.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;3.471515
1;SP GFLOPS;0.168097
1;DP GFLOPS;0.089637
1;x87 GFLOPS;0.0
1;IPC;0.944083
1;Average CPU Frequency;3106731212.836328
1;Total Thread Count;
1;CPU Time;1.272989
0;Effective Physical Core Utilization;0.6% (0.381 out of 64)
1;Effective Logical Core Utilization;0.3% (0.367 out of 128)
0;Memory Bound;16.0
1;Cache Bound;14.5
1;DRAM Bound;3.5
1;NUMA: % of Remote Accesses;0.8
0;Vectorization;35.3
1;Instruction Mix;
2;SP FLOPs;1.3
3;Packed;56.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;56.6
3;Scalar;43.4
2;DP FLOPs;2.4
3;Packed;24.1
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;24.1
3;Scalar;75.9
2;x87 FLOPs;0.0
2;Non-FP;96.4
1;FP Arith/Mem Rd Instr. Ratio;0.139712
1;FP Arith/Mem Wr Instr. Ratio;0.294591
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.chain.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;4
1;Computer Name;instance-20220526-1048
1;Result Size;3286209
1;Collection start time;17:34:01 26/05/2022 UTC
1;Collection stop time;17:34:05 26/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593975900
2;Logical CPU Count;128
