/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,18.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.492293
1;SP GFLOPS;2.050707
1;DP GFLOPS;0.312351
1;x87 GFLOPS;0.0
1;IPC;0.941337
1;Average CPU Frequency;3174437329.277308
1;Total Thread Count;
1;CPU Time;2.167840
0;Effective Physical Core Utilization;0.8% (0.485 out of 64)
1;Effective Logical Core Utilization;0.4% (0.483 out of 128)
0;Memory Bound;36.8
1;Cache Bound;29.9
1;DRAM Bound;7.9
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;94.1
1;Instruction Mix;
2;SP FLOPs;7.2
3;Packed;98.4
4;128-bit;0.9
4;256-bit;0.0
4;512-bit;97.5
3;Scalar;1.6
2;DP FLOPs;2.6
3;Packed;82.0
4;128-bit;0.0
4;256-bit;0.8
4;512-bit;81.2
3;Scalar;18.0
2;x87 FLOPs;0.0
2;Non-FP;90.2
1;FP Arith/Mem Rd Instr. Ratio;0.459282
1;FP Arith/Mem Wr Instr. Ratio;0.947463
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;8
1;Computer Name;instance-20220601-1914
1;Result Size;3286229
1;Collection start time;23:10:57 01/06/2022 UTC
1;Collection stop time;23:11:02 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979114
2;Logical CPU Count;128
