/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,29.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.072725
1;SP GFLOPS;2.564772
1;DP GFLOPS;0.060299
1;x87 GFLOPS;0.0
1;IPC;1.272732
1;Average CPU Frequency;2995319326.592130
1;Total Thread Count;
1;CPU Time;1.769970
0;Effective Physical Core Utilization;0.7% (0.442 out of 64)
1;Effective Logical Core Utilization;0.3% (0.435 out of 128)
0;Memory Bound;23.8
1;Cache Bound;21.4
1;DRAM Bound;3.5
1;NUMA: % of Remote Accesses;6.0
0;Vectorization;73.1
1;Instruction Mix;
2;SP FLOPs;10.1
3;Packed;89.0
4;128-bit;0.0
4;256-bit;18.4
4;512-bit;70.6
3;Scalar;11.0
2;DP FLOPs;2.3
3;Packed;4.5
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.5
3;Scalar;95.5
2;x87 FLOPs;0.0
2;Non-FP;87.6
1;FP Arith/Mem Rd Instr. Ratio;0.478241
1;FP Arith/Mem Wr Instr. Ratio;1.094124
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;3
1;Computer Name;instance-20220601-1914
1;Result Size;3286210
1;Collection start time;22:17:53 01/06/2022 UTC
1;Collection stop time;22:17:57 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979107
2;Logical CPU Count;128
