/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220703/hwmetrics/results.instance-20220703-1452,8.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;5.087887
1;SP GFLOPS;0.507264
1;DP GFLOPS;0.290891
1;x87 GFLOPS;0.0
1;IPC;1.424391
1;Average CPU Frequency;2503339891.686849
1;Total Thread Count;
1;CPU Time;2.326107
0;Effective Physical Core Utilization;0.7% (0.459 out of 64)
1;Effective Logical Core Utilization;0.4% (0.457 out of 128)
0;Memory Bound;14.2
1;Cache Bound;17.6
1;DRAM Bound;0.7
1;NUMA: % of Remote Accesses;25.5
0;Vectorization;38.7
1;Instruction Mix;
2;SP FLOPs;3.0
3;Packed;53.2
4;128-bit;0.0
4;256-bit;0.9
4;512-bit;52.3
3;Scalar;46.8
2;DP FLOPs;5.0
3;Packed;29.9
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;29.9
3;Scalar;70.1
2;x87 FLOPs;0.0
2;Non-FP;91.9
1;FP Arith/Mem Rd Instr. Ratio;0.292155
1;FP Arith/Mem Wr Instr. Ratio;0.687145
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.chain-long" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220703-1452
1;Result Size;3286318
1;Collection start time;13:33:18 03/07/2022 UTC
1;Collection stop time;13:33:23 03/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593977880
2;Logical CPU Count;128
