/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220531/hwmetrics/results.instance-20220530-1006,5.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.521238
1;SP GFLOPS;2.146607
1;DP GFLOPS;0.033885
1;x87 GFLOPS;0.0
1;IPC;1.458216
1;Average CPU Frequency;2701609162.586406
1;Total Thread Count;
1;CPU Time;3.865489
0;Effective Physical Core Utilization;1.4% (0.870 out of 64)
1;Effective Logical Core Utilization;0.7% (0.855 out of 128)
0;Memory Bound;14.4
1;Cache Bound;16.0
1;DRAM Bound;1.7
1;NUMA: % of Remote Accesses;1.9
0;Vectorization;91.7
1;Instruction Mix;
2;SP FLOPs;3.1
3;Packed;98.3
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;98.3
3;Scalar;1.7
2;DP FLOPs;0.3
3;Packed;23.0
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;23.0
3;Scalar;77.0
2;x87 FLOPs;0.0
2;Non-FP;96.6
1;FP Arith/Mem Rd Instr. Ratio;0.136856
1;FP Arith/Mem Wr Instr. Ratio;0.238192
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.lj.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;12
1;Computer Name;instance-20220530-1006
1;Result Size;3286223
1;Collection start time;14:52:14 31/05/2022 UTC
1;Collection stop time;14:52:18 31/05/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593983992
2;Logical CPU Count;128
