/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220703/hwmetrics/results.instance-20220703-1452,28.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;77.639711
1;SP GFLOPS;4.068152
1;DP GFLOPS;1.342567
1;x87 GFLOPS;0.000000
1;IPC;0.785796
1;Average CPU Frequency;2912336693.612374
1;Total Thread Count;
1;CPU Time;74.779326
0;Effective Physical Core Utilization;1.5% (0.962 out of 64)
1;Effective Logical Core Utilization;0.8% (0.963 out of 128)
0;Memory Bound;39.9
1;Cache Bound;32.3
1;DRAM Bound;7.6
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;93.2
1;Instruction Mix;
2;SP FLOPs;7.9
3;Packed;100.0
4;128-bit;1.1
4;256-bit;0.0
4;512-bit;98.9
3;Scalar;0.0
2;DP FLOPs;6.0
3;Packed;84.3
4;128-bit;0.0
4;256-bit;0.5
4;512-bit;83.9
3;Scalar;15.7
2;x87 FLOPs;0.0
2;Non-FP;86.2
1;FP Arith/Mem Rd Instr. Ratio;0.804380
1;FP Arith/Mem Wr Instr. Ratio;2.072634
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../bin/lmp_intel_cpu_intelmpi" "-in" "in.eam-long.scaled_864" "-pk" "intel" "0" "omp" "1" "mode" "mixed" "-sf" "intel" 
1;Operating System;5.15.0-1007-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220703-1452
1;Result Size;3286420
1;Collection start time;19:09:29 03/07/2022 UTC
1;Collection stop time;19:10:47 03/07/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593977879
2;Logical CPU Count;128
