/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,29.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;17.829988
1;SP GFLOPS;12.640867
1;DP GFLOPS;0.245028
1;x87 GFLOPS;0.0
1;IPC;1.127190
1;Average CPU Frequency;3120910184.103232
1;Total Thread Count;
1;CPU Time;15.727972
0;Effective Physical Core Utilization;1.4% (0.887 out of 64)
1;Effective Logical Core Utilization;0.7% (0.882 out of 128)
0;Memory Bound;33.5
1;Cache Bound;24.5
1;DRAM Bound;5.5
1;NUMA: % of Remote Accesses;1.0
0;Vectorization;75.4
1;Instruction Mix;
2;SP FLOPs;25.6
3;Packed;89.0
4;128-bit;0.0
4;256-bit;26.0
4;512-bit;63.0
3;Scalar;11.0
2;DP FLOPs;4.9
3;Packed;3.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;3.6
3;Scalar;96.4
2;x87 FLOPs;0.0
2;Non-FP;69.5
1;FP Arith/Mem Rd Instr. Ratio;1.411923
1;FP Arith/Mem Wr Instr. Ratio;5.172208
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;6
1;Computer Name;instance-20220601-1914
1;Result Size;3286275
1;Collection start time;22:49:24 01/06/2022 UTC
1;Collection stop time;22:49:41 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979079
2;Logical CPU Count;128
