/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,2.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;107.601452
1;SP GFLOPS;14.967613
1;DP GFLOPS;0.283972
1;x87 GFLOPS;0.0
1;IPC;1.151436
1;Average CPU Frequency;3297241952.339719
1;Total Thread Count;
1;CPU Time;107.167052
0;Effective Physical Core Utilization;1.6% (0.997 out of 64)
1;Effective Logical Core Utilization;0.8% (0.996 out of 128)
0;Memory Bound;31.6
1;Cache Bound;24.9
1;DRAM Bound;5.3
1;NUMA: % of Remote Accesses;0.7
0;Vectorization;78.1
1;Instruction Mix;
2;SP FLOPs;21.3
3;Packed;92.3
4;128-bit;0.0
4;256-bit;18.4
4;512-bit;73.9
3;Scalar;7.7
2;DP FLOPs;4.1
3;Packed;4.6
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.6
3;Scalar;95.4
2;x87 FLOPs;0.0
2;Non-FP;74.6
1;FP Arith/Mem Rd Instr. Ratio;1.154589
1;FP Arith/Mem Wr Instr. Ratio;4.784871
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled_2048" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;Computer Name;instance-20220601-1914
1;Result Size;3286319
1;Collection start time;22:45:50 01/06/2022 UTC
1;Collection stop time;22:47:38 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979083
2;Logical CPU Count;128
