/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,62.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;2.647566
1;SP GFLOPS;0.273381
1;DP GFLOPS;0.039220
1;x87 GFLOPS;0.0
1;IPC;0.853995
1;Average CPU Frequency;2028308682.194069
1;Total Thread Count;
1;CPU Time;0.226796
0;Effective Physical Core Utilization;0.2% (0.115 out of 64)
1;Effective Logical Core Utilization;0.1% (0.086 out of 128)
0;Memory Bound;31.2
1;Cache Bound;36.0
1;DRAM Bound;4.1
1;NUMA: % of Remote Accesses;0.8
0;Vectorization;89.1
1;Instruction Mix;
2;SP FLOPs;13.8
3;Packed;98.8
4;128-bit;0.3
4;256-bit;0.0
4;512-bit;98.4
3;Scalar;1.2
2;DP FLOPs;5.6
3;Packed;65.4
4;128-bit;0.0
4;256-bit;0.4
4;512-bit;65.0
3;Scalar;34.6
2;x87 FLOPs;0.0
2;Non-FP;80.6
1;FP Arith/Mem Rd Instr. Ratio;1.091752
1;FP Arith/Mem Wr Instr. Ratio;2.007243
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.eam" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;33
1;Computer Name;instance-20220601-1914
1;Result Size;3286152
1;Collection start time;23:01:05 01/06/2022 UTC
1;Collection stop time;23:01:08 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979157
2;Logical CPU Count;128
