/opt/intel/oneapi/vtune/2022.2.0/bin64/vtune -R summary -r /home/ubuntu/lammps/bench/aps_result_20220601/hwmetrics/results.instance-20220601-1914,46.* -q -format csv -csv-delimiter semicolon
Hierarchy Level;Metric Name;Metric Value
0;Elapsed Time;4.201865
1;SP GFLOPS;2.974342
1;DP GFLOPS;0.059584
1;x87 GFLOPS;0.0
1;IPC;1.225434
1;Average CPU Frequency;2524523110.074065
1;Total Thread Count;
1;CPU Time;1.873499
0;Effective Physical Core Utilization;0.7% (0.461 out of 64)
1;Effective Logical Core Utilization;0.3% (0.446 out of 128)
0;Memory Bound;25.8
1;Cache Bound;22.9
1;DRAM Bound;4.0
1;NUMA: % of Remote Accesses;1.7
0;Vectorization;76.6
1;Instruction Mix;
2;SP FLOPs;13.4
3;Packed;91.1
4;128-bit;0.0
4;256-bit;18.8
4;512-bit;72.3
3;Scalar;8.9
2;DP FLOPs;2.7
3;Packed;4.4
4;128-bit;0.0
4;256-bit;0.0
4;512-bit;4.4
3;Scalar;95.6
2;x87 FLOPs;0.0
2;Non-FP;83.9
1;FP Arith/Mem Rd Instr. Ratio;0.709681
1;FP Arith/Mem Wr Instr. Ratio;1.993785
0;Collection and Platform Info;
1;Application Command Line;env "OMP_NUM_THREADS=1" "KMP_AFFINITY=granularity=fine,compact,1,0" "../src/lmp_intel_cpu_intelmpi" "-in" "in.rhodo.scaled" "-pk" "intel" "0" "omp" "1" "mode" "single" "-sf" "intel" 
1;Operating System;5.13.0-1028-oracle DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.4 LTS"
1;MPI Process Rank;12
1;Computer Name;instance-20220601-1914
1;Result Size;3286222
1;Collection start time;22:23:50 01/06/2022 UTC
1;Collection stop time;22:23:54 01/06/2022 UTC
1;Collector Type;Driverless Perf per-process counting
1;CPU;
2;Name;Intel(R) Xeon(R) Processor code named Icelake
2;Frequency;2593979053
2;Logical CPU Count;128
